Country,PopCode,wpp_name
Australia,AUS,Australia
Austria,AUT,Austria
Belgium,BEL,Belgium
Bulgaria,BGR,Bulgaria
Canada,CAN,Canada
Switzerland,CHE,Switzerland
Chile,CHL,Chile
Czechia,CZE,Czechia
Germany,DEUTNP,Germany
Denmark,DNK,Denmark
Spain,ESP,Spain
Estonia,EST,Estonia
Finland,FIN,Finland
France,FRATNP,France
Northern Ireland,GBR_NIR,Northern Ireland
Scotland,GBR_SCO,Scotland
England_Wales,GBRTENW,England_Wales
Greece,GRC,Greece
Croatia,HRV,Croatia
Hungary,HUN,Hungary
Iceland,ISL,Iceland
Israel,ISR,Israel
Italy,ITA,Italy
Republic of Korea,KOR,Republic of Korea
Lithuania,LTU,Lithuania
Luxembourg,LUX,Luxembourg
Latvia,LVA,Latvia
Netherlands,NLD,Netherlands
Norway,NOR,Norway
New Zealand,NZL_NP,New Zealand
Poland,POL,Poland
Portugal,PRT,Portugal
Slovakia,SVK,Slovakia
Slovenia,SVN,Slovenia
Sweden,SWE,Sweden
United States,USA,United States of America
United Kingdom,GBR,United Kingdom
Taiwan,TWN,"China, Taiwan Province of China"
Peru,PER,Peru
Mexico,MEX,Mexico
